cod,descricao
020002,ALHO E CEBOLA  PICADINHO S/SAL  180GR
020003,ALHO PICADINHO  C/ERVAS FINAS  S/SAL 180GR
020004,ALHO PICADINHO  S/SAL 180GR
020005,ALHO PICADINHO  S/SAL 1.010KG
020006,COLORIFICO DA  ROCA 150GR
020007,COLORIFICO  NORDESTINO  200GR
020008,COLORIFICO  EXTRA S/SAL  500GR
020009,CREME P/PAO DE  ALHO  TRADICIONAL  200GR
020010,CREME P/PAO DE  ALHO PICANTE  200GR
020011,EMPANA  CAMARAO E  LEGUMES 250GR
020012,EMPANA PRATICO  CARNE 250GR
020013,EMPANA PRATICO  FRANGO 250GR
020014,EMPANA PRATICO  PEIXE 250GR
020015,EMPANA PRATICO  CARNE 500GR
020016,EMPANA PRATICO  FRANGO 500GR
020017,EMPANA PRATICO  PEIXE 500GR
020018,EMPANA TUDO  500GR
020019,OREGANO 100GR
020020,ALHO E SAL 300GR
020021,TEMPERO  COMPLETO BACON  C/PIMENTA 300GR
020022,TEMPERO  COMPLETO  C/OREGANO 300GR
020023,TEMPERO  COMPLETO GRILL  300GR
020024,TEMPERO  COMPLETO  NATURAL  S/PIMENTA 300GR
020025,TEMPERO  COMPLETO BACON  C/PIMENTA 340GR
020026,TEMPERO  COMPLETO  NATURAL 340GR
020027,TEMPERO  COMPLETO  PICANTE 340GR
020028,PASTA DE ALHO  C/SAL 380GR
020029,REFOGA  (OREGANO) 380GR
020030,REFOGA  (SALSA/CEBOLINHA 380GR
020031,TEMPERO  COMPLETO  C/PASTA DE ALHO  380GR
020032,SAL GROSSO  C/ALHO 500GR
020033,SAL GROSSO  C/ERVAS FINAS  500GR
020034,TEMPERO  COMPLETO P/  CHURRASCO  500GR
020035,CANELA EM PO  20GR (TUBO)
020036,CANELA EM PO  40GR (TUBO)
020037,PIMENTA DO  REINO EM PO  20GR (TUBO)
020038,PIMENTA DO  REINO EM PO  40GR (TUBO)
020039,ALHO EM PASTA S/  SAL 200G
020041,ALHO FRITO  100GR CX 24 UNID
020042,ALHO E CEBOLA  PICADINHO S/SAL  180GR CX 36 UNID
020043,ALHO PICADINHO  C/ERVAS FINAS  S/SAL 180GR CX 36  UNID
020044,ALHO PICADINHO  S/SAL 180GR CX 36  UNID
020045,ALHO PICADINHO  S/SAL 1.010KG CX  12 UNID
020046,COLORIFICO DA  ROCA 150GR CX  36 UNID
020047,COLORIFICO  NORDESTINO  200GR FD 50 UNID
020048,COLORIFICO  EXTRA S/SAL  500GR FD 30 UNID
020049,CREME P/PAO DE  ALHO  TRADICIONAL  200GR CX 36 UNID
020050,CREME P/PAO DE  ALHO PICANTE  200GR CX 36 UNID
020051,EMPANA  CAMARAO E  LEGUMES 250GR  FD 50 UNID
020052,EMPANA PRATICO  CARNE 250GR FD  50 UNID
020053,EMPANA PRATICO  FRANGO 250GR FD  50 UNID
020054,EMPANA PRATICO  PEIXE 250GR FD 50  UNID
020055,EMPANA PRATICO  CARNE 500GR FD  40 UNID
020056,EMPANA PRATICO  FRANGO 500GR FD  40 UNID
020057,EMPANA PRATICO  PEIXE 500GR FD 40  UNID
020058,EMPANA TUDO  500GR FD 40 UNID
020059,OREGANO 100GR  FD 24 UNID
020060,ALHO E SAL 300GR  CX 24 UNID
020061,TEMPERO  COMPLETO BACON  C/PIMENTA 300GR  CX 24 UNID
020062,TEMPERO  COMPLETO  C/OREGANO  300GR CX 24 UNID
020063,TEMPERO  COMPLETO GRILL  300GR CX 24 UNID
020064,TEMPERO  COMPLETO  NATURAL  S/PIMENTA 300GR  CX 24 UNID
020065,TEMPERO  COMPLETO BACON  C/PIMENTA 340GR  FD 30 UNID
020066,TEMPERO  COMPLETO  NATURAL 340GR  FD 30 UNID
020067,TEMPERO  COMPLETO  PICANTE 340GR FD  30 UNID
020068,PASTA DE ALHO  C/SAL 380GR CX  24 UNID
020069,REFOGA  (OREGANO) 380GR  CX 24 UNID
020070,REFOGA  (SALSA/CEBOLINHA 380GR CX 24 UNID
020071,TEMPERO  COMPLETO  C/PASTA DE ALHO  380GR CX 24 UNID
020072,SAL GROSSO  C/ALHO 500GR FD  60 UNID
020073,SAL GROSSO  C/ERVAS FINAS  500GR FD 60 UNID
020074,TEMPERO  COMPLETO P/  CHURRASCO  500GR FD 60 UNID
020075,CANELA EM PO  20GR (TUBO) FD  24 UNID
020076,CANELA EM PO  40GR (TUBO) FD  24 UNID
020077,PIMENTA DO  REINO EM PO  20GR (TUBO) FD  24 UNID
020078,PIMENTA DO  REINO EM PO  40GR (TUBO) FD  24 UNID
020082,COLORIFICO  EXTRA (PACOTE)  200G
020083,ALHO EM PASTA S/  SAL 1.010KG
020084,ALHO EM PASTA S/  SAL 200G CX 36  UNID
020085,TEMPERO  COMPLETO GRILL  340GR
020086,TEMPERO  COMPLETO GRILL  340GR FD 30 UNID
020088,ALHO EM PASTA S/  SAL 1.010KG CX 12  UNID
020090,CEBOLA PICADA  180G CX 36 UNID
020093,CALDO DE  CAMARAO C/  ERVAS FINAS POTE  180G
020094,CALDO DE PEIXE  C/ ERVAS FINAS  POTE 180G
020097,SALGADINHO  PURURUCA  LISTRADO 200G
020098,SALGADINHO  PURURUCA  NATURAL 200G
020099,CEBOLA PICADA  180G
020100,SALGADINHO  PURURUCA  NATURAL 200G FD  30 UNID
020101,SALGADINHO  PURURUCA  LISTRADO 200G FD  30 UNID
020106,MISTURA P/  TAPIOCA 500G
020107,SALGADINHO  PURURUCA BACON  350G
020108,SALGADINHO  PURURUCA  NATURAL 350G
020109,SALGADINHO  PURURUCA BACON  350G
020110,SALGADINHO  PURURUCA  NATURAL 350G
020111,MISTURA P/  TAPIOCA 500G CX  30 UNID
020112,PURO ALHO 200G
020113,PURO ALHO 200G  CX 36 UNID
020114,PURO ALHO 1KG
020115,PURO ALHO 1KG  CX 12 UNID
020116,PURO ALHO 2KG
020117,PURO ALHO 2KG  FD 06 UNID
020130,SAL GROSSO 500G
020131,SAL DEFUMADO  500G
020287,SUPRASAL 500G
020288,SUPRASAL 500GR  FD 60 UNID
000003,MOLHOS
030001,MOLHO DE ALHO  C/ ERVAS FINAS  150ML
030002,MOLHO DE ALHO  C/ PIMENTA 150ML.
030003,MOLHO ARABE  150ML.
030004,MOLHO DE ALHO  150ML.
030005,MOLHO DE CEBOLA  150ML
030006,MOLHO DE  PIMENTA  CALABRESA 150ML
030007,MOLHO DE  PIMENTA 150ML
030008,MOLHO DE  PIMENTA AMARELA  150ML
030009,MOLHO DE  PIMENTA VERDE  150ML
030011,MOLHO DE SALSA  150ML
030012,MOLHO P/  CHURRASCO 150ML
030013,MOLHO INGLES  150ML
030014,MOLHO SHOYU  150ML
030032,MOLHO DE ALHO  C/ ERVAS FINAS  150ML CX 24 UNID
030033,MOLHO DE ALHO  C/ PIMENTA 150ML  CX 24 UNID
030034,MOLHO ARABE  150ML CX 24 UNID
030035,MOLHO DE ALHO  150ML CX 24 UNID
030036,MOLHO DE CEBOLA  150ML CX 24UNID
030037,MOLHO DE  PIMENTA  CALABRESA 150ML  CX 24 UNID
030038,MOLHO DE  PIMENTA 150ML CX  24 UNID
030039,MOLHO DE  PIMENTA AMARELA  150ML CX 24 UNID
030041,MOLHO DE  PIMENTA VERDE  150ML CX 24 UNID
030045,MOLHO DE  PIMENTA VULCÃO  1.010KG
030047,MOLHO DE ALHO  1.010KG
030048,MOLHO DE SALSA  150ML CX 24 UNID
030049,MOLHO P/  CHURRASCO  150ML CX 24UNID
030050,MOLHO INGLES  150ML CX 24 UNID
030051,MOLHO SHOYU  150ML CX 24 UNID
030063,MOLHO P/  GRELHADOS 145ML
030064,MOLHO P/  GRELHADOS 145ML  CX 24 UNID
030068,MOLHO DE  PIMENTA VULCAO  150ML
030069,MOLHO DE  PIMENTA VULCAO  150ML CX 24 UNID
030070,MOLHO DE ALHO  C/ ERVAS FINAS  1.010KG
030071,MOLHO DE ALHO  C/ PIMENTA  1.010KG
030072,MOLHO ÁRABE  1.010KG
030073,MOLHO DE  PIMENTA  CALABRESA  1.010KG
030074,MOLHO DE  PIMENTA 1.010KG
030075,MOLHO P/  CHURRASCO  1.010KG
030076,MOLHO INGLÊS  1.010KG
030077,MOLHO SHOYU  1.010KG
030078,MOLHO P/  GRELHADOS  1.010KG
030079,MOLHO DE CEBOLA  1.010KG
030080,MOLHO DE  PIMENTA VERDE  1.010KG
030081,MOLHO DE  PIMENTA AMARELA  1.010KG
030082,KETCHUP  TRADICIONAL 200G
030083,KETCHUP  TRADICIONAL 400G
030084,MOLHO BARBECUE  200G
030085,MOSTARDA 200G
030086,MOLHO DE  PIMENTA  VERMELHA  CREMOSO 150ML
030087,MOLHO DE  PIMENTA C/ AÇAÍ  CREMOSO 150ML
030090,MOLHO DE  PIMENTA C/ ALHO  E ERVAS CREMOSO  150ML
030092,KETCHUP  TRADICIONAL  400G CX 24 UNID
030095,MOLHO DE  PIMENTA C/ AÇAÍ  CREMOSO 150ML  CX 24 UNID
030096,MAIONESE  DEFUMADA 200G
030097,CHIMI CHURRI  CREMOSO 200G
030098,SUPRA JACK 200G
030099,MAIONESE  TEMPERADA 200G
030102,MOLHO DE  PIMENTA  BIQUINHO  CREMOSO 150ML
030103,MOLHO DE  PIMENTA  VERMELHA  CREMOSO 150ML  CX 24 UNID
030104,MOLHO DE  PIMENTA  DEFUMADA  CREMOSO 150ML  CX 24 UNID
030105,MOLHO DE  PIMENTA VERDE  CREMOSO 150ML  CX 24 UNID
030106,MOLHO DE  PIMENTA C/ ALHO  E ERVAS CREMOSO  150ML CX 24 UNID
030107,MAIONESE  TEMPERADA 200G  CX 24 UNID
030108,MAIONESE  DEFUMADA 200G  CX 24 UNID
030109,SUPRA JACK 200G  CX 24 UNID
030110,CHIMI CHURRI  CREMOSO 200G CX  24 UNID
030111,MOLHO DE  PIMENTA  DEFUMADA  CREMOSO 150ML
030112,MOLHO DE  PIMENTA VERDE  CREMOSO 150ML
030113,MOLHO BARBECUE  200G CX 24 UNID
030114,PASTA DE  PIMENTA  CREMOSA 200G
030115,PASTA DE  PIMENTA  CREMOSA 200G CX  24 UNID
030116,MOLHO DE  PIMENTA  DEFUMADA  CREMOSO 1.010KG
030117,MOSTARDA 200G  CX 24 UNID
